,Immoweb ID,Property type,property sub-type,Price,Eur/m2,Extra,Post code,Construction year,Building condition,Living area,Kitchen type,Bedrooms,Terrace surface,Energy class,Double glazing,url address,Swimming pool,Garden surface,Garden,Surface of the plot,Municipality,Region
11248,9601057,1,DUPLEX,276500,1580.0,,4650,1850,4,175,4.0,3.0,,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/herve/4650/9601057?searchId=61feb4d267583,0.0,,0.0,,herve,Liège Province
11249,9266376,1,DUPLEX,374000,4065.217391304348,,1933,2021,4,92,10.0,2.0,10.0,7.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/zaventem/1933/9266376?searchId=61feb4d267583,0.0,,0.0,,zaventem,Flemish Brabant Province
11250,9618508,1,DUPLEX,420000,3925.233644859813,,1933,2021,4,107,10.0,2.0,14.0,,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/zaventem-sterrebeek/1933/9618508?searchId=61feb4d267583,,,0.0,,zaventem-sterrebeek,Flemish Brabant Province
11251,9723448,1,DUPLEX,695000,3475.0,,1150,1997,3,200,4.0,4.0,15.0,6.0,,https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-pierre/1150/9723448?searchId=61feb4d267583,0.0,,0.0,,woluwe-saint-pierre,Brussels Capital Region
11252,9608154,1,DUPLEX,254000,1727.891156462585,,8420,0,3,147,4.0,4.0,,3.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/de-haan/8420/9608154?searchId=61feb4d267583,,,0.0,,de-haan,West Flanders Province
11253,9537897,1,DUPLEX,265000,2819.148936170213,,8430,0,4,94,10.0,2.0,,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/middelkerke/8430/9537897?searchId=61feb4d267583,,,0.0,,middelkerke,West Flanders Province
11254,9667480,1,DUPLEX,265000,2120.0,,9300,0,3,125,7.0,2.0,12.0,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/aalst/9300/9667480?searchId=61feb4d267583,,,0.0,,aalst,East Flanders Province
11255,9662842,1,DUPLEX,265000,2120.0,,9308,0,3,125,7.0,2.0,12.0,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/aalst/9308/9662842?searchId=61feb4d267583,,,0.0,,aalst,East Flanders Province
11256,9615701,1,DUPLEX,295000,4214.285714285715,,1060,1900,3,70,4.0,1.0,,1.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/saint-gilles/1060/9615701?searchId=61feb4d267583,0.0,,0.0,,saint-gilles,Brussels Capital Region
11257,9687431,1,DUPLEX,499000,3061.3496932515336,,8370,0,3,163,10.0,4.0,11.0,5.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/blankenberge/8370/9687431?searchId=61feb4d267583,0.0,,0.0,,blankenberge,West Flanders Province
11258,8605787,1,DUPLEX,995000,9045.454545454546,,8300,1993,4,110,10.0,3.0,20.0,6.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist-knokke/8300/8605787?searchId=61feb4d267583,0.0,,0.0,,knokke-heist-knokke,West Flanders Province
11264,9708790,1,DUPLEX,259000,2158.3333333333335,,1190,1920,1,120,,2.0,4.0,1.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/forest/1190/9708790?searchId=61feb4d267583,0.0,,0.0,,forest,Brussels Capital Region
11266,8549833,1,DUPLEX,584750,2498.931623931624,,4000,2019,4,234,,5.0,35.0,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/liege-1/4000/8549833?searchId=61feb4d267583,,,0.0,,liege-1,Liège Province
11267,9716996,1,DUPLEX,895000,8443.396226415094,,8300,2017,4,106,10.0,3.0,,7.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist-knokke/8300/9716996?searchId=61feb4d267583,,,0.0,,knokke-heist-knokke,West Flanders Province
11268,9731508,1,DUPLEX,340000,2394.3661971830984,,1840,0,4,142,,2.0,14.0,,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/londerzeel/1840/9731508?searchId=61feb4d267583,0.0,,0.0,,londerzeel,Flemish Brabant Province
11270,9647910,1,DUPLEX,159000,1728.2608695652175,,4610,0,3,92,10.0,2.0,5.0,4.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/beyne-heusay/4610/9647910?searchId=61feb4d267583,,50.0,1.0,,beyne-heusay,Liège Province
11271,9696566,1,DUPLEX,230000,2555.5555555555557,,1070,0,4,90,10.0,1.0,8.0,4.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/anderlecht/1070/9696566?searchId=61feb4d267583,0.0,,0.0,,anderlecht,Brussels Capital Region
11272,9656521,1,DUPLEX,249000,2929.4117647058824,,1830,1930,3,85,7.0,2.0,,5.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/machelen/1830/9656521?searchId=61feb4d267583,,,0.0,,machelen,Flemish Brabant Province
